,smiles
10fthf,N=c1nc(O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
12dgr120,CCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCC
12dgr140,CCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCC
12dgr141,CCCCCC/C=C\CCCCCC(=O)OCC(CO)OC(=O)CCCCC/C=C\CCCCCC
12dgr160,CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCC
12dgr161,CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCC
12dgr180,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCCCC
12dgr181,CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCC/C=C\CCCCCC
12ppd__R,C[C@@H](O)CO
12ppd__S,C[C@H](O)CO
13dpg,O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O
13ppd,OCCCO
14dhncoa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C([O-])=NCCC([O-])=NCCSC(=O)c1cc([O-])c2ccccc2c1[O-]
14glucan,CO[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](OC)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
15dap,NCCCCCN
1agpe120,CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN
1agpe140,CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN
1agpe141,CCCCCC/C=C/CCCCCC(=[O+])OC(CO)COP(=O)([O-])OCC[N]
1agpe160,CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN
1agpe161,CCCCCC/C=C/CCCCCCCC(=[O+])OCC(O)COP(=O)([O-])OCC[N]
1agpe180,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN
