universal_bigg_id,name,MNX,smiles_ok
10fthf,10-Formyltetrahydrofolate,MNXM237,N=c1nc(O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
12dgr120,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",MNXM4939,CCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCC
12dgr140,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",MNXM146479,CCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCC
12dgr161,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",MNXM3774,CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCC
12dgr180,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",MNXM4217,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCCCC
12ppd__S,"(S)-Propane-1,2-diol",MNXM1255,C[C@H](O)CO
14dhncoa,"1,4-dihydroxy-2-napthoyl-CoA",MNXM147663,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C([O-])=NCCC([O-])=NCCSC(=O)c1cc([O-])c2ccccc2c1[O-]
14glucan,"1,4-alpha-D-glucan",MNXM2905,CO[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](OC)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
15dap,"1,5-Diaminopentane",MNXM943,NCCCCCN
1ddecg3p,1-dodecanoyl-sn-glycerol 3-phosphate,MNXM4232,CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]
1hdec9eg3p,1-hexadec-9-enoyl-sn-glycerol 3-phosphate,MNXM91047,CCCCCC/C=C/CCCCCCCC(=O)OCC(O)COP(=O)([O-])[O-]
1hdecg3p,1-hexadecanoyl-sn-glycerol 3-phosphate,MNXM90586,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)O
1odec11eg3p,1-octadec-11-enoyl-sn-glycerol 3-phosphate,MNXM91049,CCCCCC/C=C/CCCCCCCCCC(=O)OCC(O)COP(=O)([O-])[O-]
23ddhb,"2,3-Dihydro-2,3-dihydroxybenzoate",MNXM114261,O=C(O)C1=CC=CC(O)C1O
23dhba,"(2,3-Dihydroxybenzoyl)adenylate",MNXM1978,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)c2cccc(O)c2O)[C@@H](O)[C@H]1O
23dhbzs,"2,3-dihydroxybenzoylserine",MNXM1487,O=C(O)[C@H](CO)N=C(O)c1cccc(O)c1O
23dhdp,"2,3-Dihydrodipicolinate",MNXM163139,O=C(O)C1=N[C@H](C(=O)O)CC=C1
25dkglcn,"2,5-diketo-D-gluconate",MNXM936,O=C([O-])C(=O)[C@@H](O)[C@H](O)C(=O)CO
26dap_LL,"LL-2,6-Diaminoheptanedioate",MNXM644,N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O
26dap__M,"Meso-2,6-Diaminoheptanedioate",MNXM529,N[C@@H](CCC[C@@H](N)C(=O)O)C(=O)O
